Time,Bus1_Va,Bus1_Vb,Bus1_Vc,Bus1_Ia,Bus1_Ib,Bus1_Ic,Bus2_Va,Bus2_Vb,Bus2_Vc,Bus2_Ia,Bus2_Ib,Bus2_Ic,Bus3_Va,Bus3_Vb,Bus3_Vc,Bus3_Ia,Bus3_Ib,Bus3_Ic
2.3,-3.99866890624472e-10,-17677.669529664,17677.6695296644,-880056.019304626,40131.3313653863,839924.687939171,-1162.27538056054,-507.576883679856,1669.85226424031,-436772.512284566,49943.5159133708,386828.996371161,-2322.37104021756,-1164.73813498353,3487.10917520091,-443283.50702006,-9812.18454798445,453095.691568009
2.4,1.60068051187413e-09,-17677.669529665,17677.6695296634,-880056.019304579,40131.3313653938,839924.687939116,-1162.27538056046,-507.57688367992,1669.85226424029,-436772.51228455,49943.5159133699,386828.996371146,-2322.37104021731,-1164.7381349837,3487.10917520083,-443283.507020029,-9812.18454797613,453095.69156797
2.5,-1.0400178004365e-09,-17677.6695296636,17677.6695296647,-880056.019304552,40131.3313654203,839924.687939063,-1162.27538056061,-507.576883679689,1669.85226424021,-436772.512284535,49943.5159133918,386828.99637111,-2322.37104021765,-1164.73813498324,3487.10917520071,-443283.507020017,-9812.18454797145,453095.691567954
2.6,-1.36009325534251e-09,-17677.6695296635,17677.6695296648,-880056.019304659,40131.3313655482,839924.687939042,-1162.27538056074,-507.576883679584,1669.85226424024,-436772.512284585,49943.5159134549,386828.996371097,-2322.37104021793,-1164.73813498298,3487.10917520073,-443283.507020074,-9812.18454790663,453095.691567946
2.7,-1.68016871024853e-09,-17677.6695296633,17677.669529665,-880056.019304627,40131.331365458,839924.6879391,-1162.27538056059,-507.576883679743,1669.85226424024,-436772.512284573,49943.5159134134,386828.996371125,-2322.37104021761,-1164.73813498329,3487.10917520072,-443283.507020054,-9812.18454795548,453095.691567976
2.8,3.20378692250075e-10,-17677.6695296632,17677.6695296628,-880056.019304512,40131.3313655183,839924.687939098,-1162.27538056042,-507.57688367963,1669.85226424019,-436772.512284528,49943.5159134518,386828.996371129,-2322.37104021725,-1164.73813498309,3487.10917520062,-443283.507019984,-9812.18454793352,453095.691567969
2.9,2.32092609474868e-09,-17677.6695296642,17677.6695296618,-880056.019304589,40131.3313655339,839924.68793916,-1162.27538056064,-507.576883679543,1669.85226424032,-436772.51228456,49943.5159134508,386828.996371162,-2322.3710402177,-1164.73813498291,3487.10917520089,-443283.507020029,-9812.18454791686,453095.691567999
3,-4.96101793237119e-09,-17677.6695296605,17677.6695296655,-880056.019304555,40131.3313655789,839924.68793908,-1162.27538056065,-507.576883679438,1669.85226424023,-436772.512284545,49943.5159134768,386828.99637112,-2322.37104021771,-1164.73813498272,3487.10917520071,-443283.50702001,-9812.18454789787,453095.69156796
3.1,-2.96047052987259e-09,-17677.6695296615,17677.6695296645,-880056.019304529,40131.3313655783,839924.687939055,-1162.27538056057,-507.576883679538,1669.85226424024,-436772.512284522,49943.5159134719,386828.996371102,-2322.37104021761,-1164.73813498286,3487.10917520075,-443283.507020007,-9812.18454789351,453095.691567953
3.2,-9.59923127373982e-10,-17677.6695296625,17677.6695296635,-880056.019304628,40131.3313655381,839924.687939195,-1162.27538056057,-507.576883679556,1669.85226424026,-436772.512284572,49943.5159134544,386828.99637117,-2322.37104021753,-1164.73813498294,3487.10917520074,-443283.507020056,-9812.18454791625,453095.691568025
